Store,Address,Latitude,Longitude,
성균관대 자연과학캠퍼스점,"경기 수원시 장안구 서부로 2066, 성균관대 자연과학 캠퍼스 N센터 1층  ",37.29290824,126.9752755,
마곡마커스빌딩점 ,서울특별시 강서구 마곡동로 55 마커스빌딩 1층 ,37.56036068,126.8334392,
방이역4번출구점,서울특별시 송파구 방이동 206-11 ,37.50971158,127.1256896,
IFC MALL 3호점,서울특별시 영등포구 국제금융로10 IFC Mall L2(2층) ,37.52505361,126.9253121,
동탄능동DT점,"경기도 화성시 능동 453-4,453-8,454-1 소재 건물(1~3층)  ",37.21483025,127.0564516,
수원인계DT점,경기도 수원시 팔달구 인계로79 (인계동) ,37.26914023,127.026616,
인천공항 제2여객터미널 입구점,인천광역시 중구 운서동 2868 인천공항 제2터미널 1층 연번(23-124) ,37.48502832,126.4395948,
부산서면서전로점,"부산광역시 부산진구 서전로 12, 1층  ",35.15773877,129.0608457,
분당차병원본관앞점,경기도 성남시 분당구 야탑로64 DS타워 1층 ,37.4096335,127.1259836,
신용산역래미안점,서울특별시 용산구 한강대로95 ,37.52894132,126.9671699,
선릉역3번출구세방빌딩점,서울특별시 강남구 선릉로 433 세방빌딩 1층 ,37.50395686,127.0488626,
